guuid	mlst
07ee020a-82dc-4527-8301-c3da862bd0e0	73
07f7ca5d-acf9-4824-acdb-b3a5077ee7ca	73
08110dce-3d4b-4c56-8fe7-df2d29133bbc	73
081f6f17-bbe9-4088-8b1f-6e5560cd1a13	69
085f3158-e8a9-46a7-be3f-bbac2a357e78	80
0843169b-3ae7-40f5-9086-b93a18d133be	127
086d7751-ee8e-47d6-b391-3de69de8ccea	349
08950ca2-5b0b-4068-8305-33c608a6cacc	73
089e08e4-894e-4ecf-8169-c23d29288cd3	131
08a8eedd-3da9-4721-ad08-84392ac25887	1572
08aa8736-ab5f-42d1-a980-15ad0e3c872c	95
08cc2f3d-d935-4520-9588-bcedfb3366f2	69
08a9172f-46a4-4495-a0bb-7a993a446913	141
08e219e7-1ee9-4dec-9eb2-6141a0bb8692	12
08ddc6b8-0f1e-4c7b-b600-36eb2281b06b	69
08e8a069-fcb9-4d6e-b29c-16cdc5d315b6	12
090bfeb0-1056-438d-abfd-2b90b660f889	162
090e1bce-7233-4ce2-b357-21c7b35454ce	140
090fe6b5-3200-4341-a8c6-66fccb70d768	5484
090fc22e-2271-4d90-b1bf-186c3829fd56	144
0917568a-989f-441c-b65c-586caadee1ba	906
0913308e-ef7e-4577-a69b-36fd5b82b959	95
091edd5d-5312-44b9-bdca-2a6b17b91a9b	80
0979a4c5-b64a-4e96-ad8d-78a3d6913f52	961
0975de62-d2e9-43f7-9d44-24309830c6b7	108
09bcaead-604f-4871-8e22-3475ac8c45d1	131
09c92d45-a5c6-4d3e-996b-2e1987ed1cb0	-
098a9904-67a6-4aac-af72-2df1fcbb171a	73
09ce3660-d309-41a5-bd7f-24f9bf45915e	48
09dff8c2-db9b-4089-82e9-64980b12faec	73
09edc6f3-a427-42d5-9949-44f25c16c589	131
09e1c727-1fc1-40dc-92b2-67474c446333	-
09eef1cc-c9f9-4d33-a1c3-247c4a8eebba	73
09fe791f-edda-43df-9de2-66af437e7852	95
0a0c39e3-22b0-433f-aa5c-b16610b8041a	95
0a1033cf-f49e-4e57-a096-dcff0c49311e	95
0a3407c0-c168-4abe-8ca6-0ea0d4df3ea5	5440
0a4014a0-21b9-4af0-864f-136d340469eb	95
0a702257-6e95-4426-97c5-1146f63d737b	1193
0a4dce58-4a01-4abb-9301-3e6ba37c81f5	131
0acbc307-ba63-4cb7-a514-526c3a3bbc4c	1057
0ac35132-54a4-4e6a-9654-bb428864eb2e	1011
0aea426a-44b4-4a95-9b84-02f910e172a5	69
0afe7285-a7cf-4b3d-b875-bca39c519b30	173
0aec6f7d-003b-4abc-b378-04d782991629	648
0b2279f1-2c90-4e22-bd3e-a1751ce9c18a	95
0b4793b2-7c99-42f6-a037-2077ddf34782	206
0b23983d-2e95-43f9-8ece-ed233333d50b	131
0b76c650-85df-4f1a-b8d6-3d7a12cee6e3	131
0b91cb23-571d-418f-916b-9276829dc172	69
0bd449f2-b6f5-4f3f-bbb8-5784415c6899	69
0c50d664-03b7-40b4-838e-b022f78f2885	95
0c55e8fa-6671-4834-b48b-5a3704c5a0ca	91
0c72c666-a331-451c-8b0d-418106ff49bc	88
0c778e58-1160-4370-a9c1-d5883cfcf632	69
0cc903da-8d71-474e-8e49-59e5b2ac9d90	73
0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4	131
0ca54088-8a5c-4fc9-aa7e-83d5a85afb01	73
0ca20a4c-4aa6-4a3d-94c0-67749bb48a3c	73
0cd90d7d-7d48-4dad-8293-b297c6acf950	73
0cee1931-3f3a-48be-a929-d2e9620b56e3	73
0d012261-0b9a-4476-bf82-71ca076be400	127
0bb6dcf8-ad8f-470b-babd-cbffaae37ded	88
0d1c0a8e-b14a-459b-b057-116501def326	410
0c4950a1-1df1-4fda-9729-7e68f811176f	5208
0c166d5c-fee3-4887-ab09-0e6d4e31c355	1858
0bbdbf4a-6475-4577-838f-745d6b7e2829	38
0d3f3676-6166-42d4-8156-3f0e3f1d85d7	10
0d26d75e-8b68-4cde-81ec-c157bf5e809b	73
0d40fe0c-3c24-42c8-90c7-ed2849f16b3b	69
0c5ac3a3-34f9-4f99-b054-bf6b05b0454a	783
0c8ec316-0cbd-4a57-b2a5-b35ae5c90d1d	919
0cfbfbe7-354a-4014-806c-bef148f3ff68	95
0d4f1a79-ee33-4d99-a167-a45c1f319726	12
0d4789a2-71a6-4db7-b0c0-bb15a9ade85d	569
0d6465b7-c1d1-4485-82ac-3bf2e2937535	420
0d5ea41a-d1b8-4205-b92a-dd373775dfc1	75
0d69c4c6-b873-4ea2-bb82-5dae5ce4792f	73
0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3	453
0d88da70-e4de-4dd6-93f3-aba2ab0dacb0	57
0d9b6457-3985-4783-9a1f-eb4303e07546	95
0dabb71a-4b91-46c2-a26b-943fe17151d7	95
0dba3329-df7a-4a0d-8364-95104b640037	543
0de49eab-5193-4a56-92b7-e48cb0ed8dc0	135
0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6	131
0de16b53-07a2-465a-8fe3-1f5d95844623	538
0deb797c-c6c0-4c93-a4d6-7fd43f345082	131
0df2177e-a058-4aeb-a077-bf22f14fccfd	127
0defa9a8-01fd-4c0d-8239-0fbc4595b276	73
0df2bfbf-ae2f-40fd-84c7-9c89c2393d12	73
0e386bf5-c88a-4f17-9177-8db3f3bb73a0	141
0e53eb46-f343-42a6-9fb8-8deacb4a7ea7	537
0e8012ef-3aa9-438d-8d17-2628028d6c8a	73
0e624267-9f5f-4a03-bb74-621a6fb66934	676
0e8fba72-8449-46ce-b62f-5ac5b8061645	131
0edf73c5-02d8-432f-951d-8d944d4dc2fc	73
0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4	69
0f041651-f6e2-48df-bd2e-e6b51ec22ed4	73
0f22654a-dc2b-4282-84f7-3870967971d5	95
0f44af52-6d0a-4a5f-b62c-396d263a7013	95
0f117678-c4fb-4bf5-8353-e8c3d5777d6f	73
0f4ccb3b-06f5-42a2-b96f-931907b8bfb8	131
0f4817b8-0985-4f92-abd7-e1d2419f0414	154
0f7ad75e-b243-4559-901e-ae101643398f	5484
0f5b24e3-d30f-4af2-be5a-51d408291940	80
0fa63730-5b81-447c-90c6-438156079722	3268
0f7cb97d-6ee7-46bd-add5-446a97f6b422	69
0fa72022-7976-4b12-b489-184837a1cc88	12
1004c54f-856d-4ae0-aa82-f3d7c96646df	73
0fd74931-261a-480c-920f-6935bd8d0756	73
102bcca4-ee70-4251-bef5-bcfaebc1e3dc	80
102bfdb5-6746-4e12-a938-53396d601a5d	354
10554175-1812-4506-a177-a0d0c0206ac0	144
105967b4-24f8-4f48-8816-fb5adf18c016	747
105812ea-037d-42ca-a5c5-564ce00bd139	69
1079122b-0101-4d7c-98dc-1a79b14756f6	12
10882496-5c60-4192-b7ff-f1ef98e791ef	73
1083aa05-2f07-4c22-9184-9c8cdac5e321	648
1088d896-99e3-41a9-97ea-cad622749474	69
10cee15d-06e2-4ae2-9155-2f0581ef0a3a	95
10e90ae7-2909-44bb-9a8e-dd2b6f7b6439	69
10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac	-
11106aaf-587d-4229-b8bf-5f1eb02973eb	73
11920d60-062e-434e-9577-fad75e0ab472	-
11540ee1-36b6-4b88-a504-96dd0bc62866	12
116728ac-c5bc-48d0-92aa-be006e960c63	127
118daa11-832b-4e44-b992-326e9e09598d	2558
119b887b-9e76-462a-a680-8dbad468280b	135
11c0ca61-3084-4173-b383-c168687a362e	1674
11f973e0-91ed-41ee-b700-659682615cae	420
1215eb4a-ce44-4d93-a303-a9ac6fe60579	131
121ead9f-fd2e-4373-91bf-4d5a6b314c82	68
121f3bfc-75d7-4e0a-8671-e89c3798f154	69
124e4d35-5c25-4d00-b9cf-af4b304509cd	2144
12215ec0-8272-4614-84ef-3f7582428119	131
1266f7c3-0745-44db-afdc-f9b4f21a88d3	127
127aceb4-dd16-4c2c-aa20-56c079a420b9	393
12885be0-e7d8-4fb7-bab1-de366f8a2a15	127
12aad752-bc82-4b40-89c2-dfed9933a0a0	1858
12aed461-f92b-432d-b18d-752859df359b	69
12be53ca-40b7-4914-ad58-8720a11f8564	-
12c1b9c1-90fe-4af1-9e00-fef38d0d1669	543
